Date,Category,Category Group,Amount,Currency,Member,Account,Tags,Memo,Income/Expenses,Last updated,UUID
20260917,Utilities,,11000,UGX,Self,Mobile Money,,Electricity,Out,2026-09-19 07:52:09,4BF87B06-035F-4735-860C-D603C6B697E1
20260916,Health,,2000,UGX,Self,Mobile Money,,Pharmacy,Out,2026-09-19 07:53:58,27FF51BB-CB0A-4E9C-AD7C-1B8676665CF2
20260916,Food,,4000,UGX,Self,Mobile Money,,Breakfast,Out,2026-09-19 07:53:40,85BCA951-D59B-472A-AF78-9D2BFDEF928C
20260916,Car,,10000,UGX,Self,Mobile Money,,Toll road,Out,2026-09-19 07:52:54,B109A752-60AF-4FFF-AC67-6D0108E21011
20260915,Car,,10000,UGX,Self,Mobile Money,,Toll road ,Out,2026-09-19 07:53:12,5D53ED1C-01FA-4634-BB41-F0BF17CC0727
20260914,Car,,10000,UGX,Self,Mobile Money,,Toll road ,Out,2026-09-19 07:53:25,941E2FC1-8BAD-4F34-A737-5B863AF68609
20260914,Health,,15500,UGX,Self,Mobile Money,,Zana Delivery,Out,2026-09-14 17:52:00,A1435448-82AB-412A-89A4-99C58B536584
20260911,Utilities,,11000,UGX,Self,Mobile Money,,Electricity,Out,2026-09-11 06:22:48,01C184AF-2664-4408-8239-81AA0CF79845
20260910,Groceries,,11000,UGX,Self,Mobile Money,,Chapatis ,Out,2026-09-10 21:22:32,FEADB2A1-C1DB-42B7-AA91-08D68519BA6A
20260910,Car,,8500,UGX,Self,Mobile Money,,Toll,Out,2026-09-10 17:33:28,EF4A59D2-AF36-4665-961F-8F805F74A2AE
20260910,Phone,,15000,UGX,Self,Mobile Money,,Bundles ,Out,2026-09-10 16:37:13,C0736AB1-7B3B-4B9F-BB80-F5107DE70315
20260910,Health,,108000,UGX,Self,Mobile Money,,Medication Zana,Out,2026-09-10 21:02:49,1699FC6C-6010-490F-A13F-BB2E70CA3995
20260910,Health,,125000,UGX,Self,Mobile Money,,Medication Maureen,Out,2026-09-10 13:33:48,D47B305A-2EBB-4877-A191-81C49A4B317A
20260910,Transaction Fees,,3700,UGX,Self,Mobile Money,,Upesi Card Renewal,Out,2026-09-10 13:30:38,56F88BA1-CFEE-4445-96EB-D1F568DB1EE8
20260910,Car,,90000,UGX,Self,Mobile Money,,Upesi Card Renewal,Out,2026-09-10 13:30:23,640A8015-C9AE-49EF-9B5F-B9A7F4A998FB
20260910,Help,,520000,UGX,Dad,Mobile Money,,,In,2026-09-10 13:29:42,4E7E2994-DF3B-499D-BC1E-7E978AE78E4D
20260908,Groceries,,8500,UGX,Calvin,Mobile Money,,Jibu,Out,2026-09-08 18:05:32,229209AA-A9F4-4875-A3DB-AB012524E623
20260907,Car,,100000,UGX,Self,Mobile Money,,Fuel,Out,2026-09-07 19:02:47,F57826F5-99F9-4790-B506-B5B871C06AE9
20260907,Groceries,,19000,UGX,Self,Mobile Money,,Teopista,Out,2026-09-07 19:01:24,A4FFEF18-080F-44BB-964F-A1E021343637
20260907,Health,,10000,UGX,Self,Mobile Money,,Zana,Out,2026-09-07 16:07:32,A69F3C73-19D5-4A36-979C-D776C1FF2920
20260907,Office,,1000,UGX,Self,Cash,,Juice,Out,2026-09-07 12:31:44,98432744-AA60-4E63-AB8E-631EA2A405D1
20260907,Health,,6000,UGX,Self,Mobile Money,,Gofen,Out,2026-09-07 12:31:29,658208F1-F4C1-462C-A7ED-44C17466F899
20260906,Health,,58000,UGX,Self,Mobile Money,,Zana,Out,2026-09-06 13:05:11,34CB9988-F8B0-456D-B2F7-D3A24481F6EC
20260905,Car,,100000,UGX,Self,Mobile Money,,Fuel,Out,2026-09-07 12:32:24,EA26C46A-CD44-41CA-A163-8741D9795566
20260905,Health,,75000,UGX,Self,Mobile Money,,Sseguku,Out,2026-09-05 22:56:12,26D06A77-EC90-473A-90AC-B69C7B76DB9F
20260905,Gift,,300000,UGX,Calvin,Mobile Money,,Ashley birthday shoot,Out,2026-09-05 20:38:15,4FFE6DE4-30F8-435E-A88E-A3CCE1947656
20260905,Gift,,91000,UGX,Ashley,Mobile Money,,Drinks for shoot ,Out,2026-09-05 15:28:48,6CA52D27-EB54-4C3C-AF6C-BB6DE2A92521
20260905,Health,,220000,UGX,Mom,Mobile Money,,Ashley’s cake,Out,2026-09-05 15:33:58,5E1E6C8B-6FA3-48FD-84BE-A2F786366E37
20260905,Health,,45000,UGX,Self,Mobile Money,,Sseguku,Out,2026-09-05 11:23:50,8F4B2058-BD6E-4AA2-A7D3-2A115B5B313A
20260905,Help,,200000,UGX,Dad,Mobile Money,,Ashley’s bday,In,2026-09-05 11:23:16,B4E65A4B-722A-4828-940D-55B89FF4CDBD
20260903,Subscriptions,,8000,UGX,Ashley,Mobile Money,,,Out,2026-09-03 21:46:15,509370E2-26AE-4B81-8B1E-AEAC0764F35B
20260903,Health,,45000,UGX,Self,Mobile Money,,Sseguku,Out,2026-09-03 18:48:48,4B61A22A-4AA6-4B72-B76A-13E141116238
20260903,Health,,4000,UGX,Self,Mobile Money,,Doxa,Out,2026-09-03 13:40:57,2B0EA385-52FC-4FCA-B332-775E43BF449E
20260903,Health,,74000,UGX,Self,Mobile Money,,Sseguku,Out,2026-09-03 10:46:10,0E09A023-3EF8-4FC7-B704-0C70E35BC19F
20260902,Health,,30000,UGX,Self,Mobile Money,,Sseguku,Out,2026-09-02 18:18:13,77516635-2722-4291-9B7A-29087085D149
20260902,Office,,7500,UGX,Self,Mobile Money,,Evelyn balance,Out,2026-09-02 15:19:47,E21BEA6E-C75A-4A63-937C-2E63E230BE1E
20260902,Books,,166000,UGX,Self,Mobile Money,,Ikigai x2,Out,2026-09-02 14:08:27,269A89F6-FDA1-470E-A799-589B3C5EDFA3
20260902,Health,,116000,UGX,Self,Mobile Money,,Zana,Out,2026-09-02 13:58:14,3A887589-F4A1-4980-816A-BC82E5AEE0F8
20260902,Phone,,2000,UGX,Self,Mobile Money,,Airtime,Out,2026-09-02 11:27:31,9B2D077F-9A37-449D-B01E-27A94694E2A9
20260902,Office,,8000,UGX,Self,Mobile Money,,Breakfast ,Out,2026-09-02 09:46:49,B56408A1-1597-4AE6-9960-3905F794B8C0
20260902,Car,,100000,UGX,Calvin,Mobile Money,,Fuel,Out,2026-09-02 08:31:08,17FC80FA-680B-4B52-A2AB-F506FBDA7447
20260902,Salary,,645000,UGX,Self,Mobile Money,,Kolaborate ,In,2026-09-02 06:00:26,4A06FF48-09B5-443D-A7E1-4F4DD3CCBE11
20260901,Subscriptions,,8000,UGX,Self,Mobile Money,,Google One,Out,2026-09-02 11:19:39,8C987B1A-8B2C-46D6-A4D9-C72051DFB42E
20260901,Health,,94000,UGX,Self,Mobile Money,,Ecopharm,Out,2026-09-02 11:20:15,EC06D42D-014B-45D6-9012-104B48792968
20260901,Health,,61000,UGX,Self,Mobile Money,,Sol Food,Out,2026-09-01 15:56:54,B24DC7B6-7AE5-4FC1-BFCC-26303C0686CB
20260901,Help,,150000,UGX,Dad,Mobile Money,,,In,2026-09-01 15:56:38,8FC2E414-98AC-4CB6-995A-B00BEF88D514
20260901,Transaction Fees,,300,UGX,Self,Mobile Money,,Mobile Money,Out,2026-09-01 15:24:42,D64592DE-E6FD-40C2-9F29-219405E3815C
20260901,Health,,1500,UGX,Self,Mobile Money,,Draggy Pharmacy,Out,2026-09-01 13:31:40,04440CFA-523A-4F35-97B5-E77460D72D7B
